Epoch,Split,Layer,Group,SubID,Loss
3,Train,ClassifyLayer_1,building,6,0.58553
3,Train,ClassifyLayer_1,building,7,0.59968
3,Train,ClassifyLayer_1,building,MEAN,0.46874
3,Train,ClassifyLayer_1,greenery,0,0.56177
3,Train,ClassifyLayer_1,greenery,1,0.48231
3,Train,ClassifyLayer_1,greenery,2,0.8516
3,Train,ClassifyLayer_1,greenery,3,0.85493
3,Train,ClassifyLayer_1,greenery,4,0.88351
3,Train,ClassifyLayer_1,greenery,5,0.58444
3,Train,ClassifyLayer_1,greenery,6,0.0005
3,Train,ClassifyLayer_1,greenery,MEAN,0.60272
3,Train,ClassifyLayer_1,infrastructure,0,0.22281
3,Train,ClassifyLayer_1,infrastructure,1,1.761
3,Train,ClassifyLayer_1,infrastructure,2,0.62617
3,Train,ClassifyLayer_1,infrastructure,3,0.11565
3,Train,ClassifyLayer_1,infrastructure,4,0.29667
3,Train,ClassifyLayer_1,infrastructure,5,0.59424
3,Train,ClassifyLayer_1,infrastructure,6,0.17414
3,Train,ClassifyLayer_1,infrastructure,7,0.76032
3,Train,ClassifyLayer_1,infrastructure,MEAN,0.56887
3,Train,ClassifyLayer_1,road,0,0.73995
3,Train,ClassifyLayer_1,road,1,1.56392
3,Train,ClassifyLayer_1,road,2,0.65459
3,Train,ClassifyLayer_1,road,3,0.43147
3,Train,ClassifyLayer_1,road,4,1.41041
3,Train,ClassifyLayer_1,road,5,0.4903
3,Train,ClassifyLayer_1,road,6,0.60729
3,Train,ClassifyLayer_1,road,7,0.51153
3,Train,ClassifyLayer_1,road,MEAN,0.80118
3,Train,TOTAL,ALL,SUM,18.9294
3,Val,AVG_ALL,building,0,0.74481
3,Val,AVG_ALL,building,1,0.5459
3,Val,AVG_ALL,building,2,0.63247
3,Val,AVG_ALL,building,3,0.68063
3,Val,AVG_ALL,building,4,0.15158
3,Val,AVG_ALL,building,5,0.01038
3,Val,AVG_ALL,building,6,0.62152
3,Val,AVG_ALL,building,7,0.79133
3,Val,AVG_ALL,building,MEAN,0.52233
3,Val,AVG_ALL,greenery,0,0.59328
3,Val,AVG_ALL,greenery,1,0.54399
3,Val,AVG_ALL,greenery,2,0.77006
3,Val,AVG_ALL,greenery,3,0.87872
3,Val,AVG_ALL,greenery,4,0.8557
3,Val,AVG_ALL,greenery,5,0.63253
3,Val,AVG_ALL,greenery,6,0.26661
3,Val,AVG_ALL,greenery,MEAN,0.6487
3,Val,AVG_ALL,infrastructure,0,0.20466
3,Val,AVG_ALL,infrastructure,1,2.08517
3,Val,AVG_ALL,infrastructure,2,0.59356
3,Val,AVG_ALL,infrastructure,3,0.08973
3,Val,AVG_ALL,infrastructure,4,0.34093
3,Val,AVG_ALL,infrastructure,5,0.44589
3,Val,AVG_ALL,infrastructure,6,0.35806
3,Val,AVG_ALL,infrastructure,7,0.91062
3,Val,AVG_ALL,infrastructure,MEAN,0.62858
3,Val,AVG_ALL,road,0,0.88054
3,Val,AVG_ALL,road,1,1.48036
3,Val,AVG_ALL,road,2,0.6656
3,Val,AVG_ALL,road,3,0.40643
3,Val,AVG_ALL,road,4,1.36615
3,Val,AVG_ALL,road,5,0.4597
3,Val,AVG_ALL,road,6,0.45235
3,Val,AVG_ALL,road,7,0.47564
3,Val,AVG_ALL,road,MEAN,0.77335
3,Val,ClassifyLayer_1,ALL,SUM,19.93492
3,Val,ClassifyLayer_1,building,0,0.74481
3,Val,ClassifyLayer_1,building,1,0.5459
3,Val,ClassifyLayer_1,building,2,0.63247
3,Val,ClassifyLayer_1,building,3,0.68063
3,Val,ClassifyLayer_1,building,4,0.15158
3,Val,ClassifyLayer_1,building,5,0.01038
3,Val,ClassifyLayer_1,building,6,0.62152
3,Val,ClassifyLayer_1,building,7,0.79133
3,Val,ClassifyLayer_1,building,MEAN,0.52233
3,Val,ClassifyLayer_1,greenery,0,0.59328
