Epoch,Split,Layer,Group,SubID,Accuracy,Precision,Recall,F1,AP
1,Train,AVG_ALL,infrastructure,4,0.9159,0.0,0.0,0.0,0.0651
1,Train,AVG_ALL,infrastructure,5,0.7257,0.0,0.0,0.0,0.2539
1,Train,AVG_ALL,infrastructure,6,0.9602,0.0,0.0,0.0,0.0567
1,Train,AVG_ALL,infrastructure,7,0.9735,0.0,0.0,0.0,0.024
1,Train,AVG_ALL,infrastructure,MEAN,0.813075,0.020475,0.09295,0.0335625,0.1208125
1,Train,AVG_ALL,road,0,0.7389,0.0,0.0,0.0,0.224
1,Train,AVG_ALL,road,1,0.6726,0.0545,0.12,0.075,0.0972
1,Train,AVG_ALL,road,2,0.6593,0.0,0.0,0.0,0.2937
1,Train,AVG_ALL,road,3,0.8496,0.0,0.0,0.0,0.1448
1,Train,AVG_ALL,road,4,0.3186,0.3186,1.0,0.4832,0.2844
1,Train,AVG_ALL,road,5,0.8142,0.0,0.0,0.0,0.1767
1,Train,AVG_ALL,road,6,0.7124,0.0,0.0,0.0,0.2758
1,Train,AVG_ALL,road,7,0.9071,0.0,0.0,0.0,0.0873
1,Train,AVG_ALL,road,MEAN,0.7090875,0.0466375,0.14,0.069775,0.1979875
1,Val,ClassifyLayer_1,building,0,0.5263,0.0,0.0,0.0,0.4499
1,Val,ClassifyLayer_1,building,1,0.7895,0.0,0.0,0.0,0.2105
1,Val,ClassifyLayer_1,building,2,0.6667,0.0,0.0,0.0,0.3333
1,Val,ClassifyLayer_1,building,3,0.614,0.0,0.0,0.0,0.3772
1,Val,ClassifyLayer_1,building,4,0.9649,0.0,0.0,0.0,0.0351
1,Val,ClassifyLayer_1,building,5,1.0,0.0,0.0,0.0,0.0
1,Val,ClassifyLayer_1,building,6,0.7018,0.0,0.0,0.0,0.2982
1,Val,ClassifyLayer_1,building,7,0.5614,0.0,0.0,0.0,0.4386
1,Val,ClassifyLayer_1,building,MEAN,0.728075,0.0,0.0,0.0,0.26785000000000003
1,Val,ClassifyLayer_1,greenery,0,0.8772,0.0,0.0,0.0,0.125
1,Val,ClassifyLayer_1,greenery,1,0.8947,0.0,0.0,0.0,0.1053
1,Val,ClassifyLayer_1,greenery,2,0.807,0.0,0.0,0.0,0.193
1,Val,ClassifyLayer_1,greenery,3,0.7368,0.0,0.0,0.0,0.253
1,Val,ClassifyLayer_1,greenery,4,0.6667,0.6667,1.0,0.8,0.6667
1,Val,ClassifyLayer_1,greenery,5,0.8596,0.0,0.0,0.0,0.1502
